"@timestamp","@sourcetype",LogonProcessName,EventRecordID,ProcessID,IpAddress,Computer,EventID,TargetUserName,TargetDomainName,TargetSid,LogonType,WorkstationName,CommandLine,NewProcessId,NewProcessName,ParentProcessName,ProcessId
"1701741176.394061","XmlWinEventLog:Security",,74262,4,,winhost01,4688,,,,,,"""C:\Program Files\SplunkUniversalForwarder\bin\splunk-MonitorNoHandle.exe""",0x884,"C:\Program Files\SplunkUniversalForwarder\bin\splunk-MonitorNoHandle.exe","C:\Program Files\SplunkUniversalForwarder\bin\splunkd.exe",0x121c
"1701741177.253572","XmlWinEventLog:Security",,74263,4,,winhost01,4688,,,,,,"""C:\Program Files\SplunkUniversalForwarder\bin\splunk-admon.exe""",0xc40,"C:\Program Files\SplunkUniversalForwarder\bin\splunk-admon.exe","C:\Program Files\SplunkUniversalForwarder\bin\splunkd.exe",0x121c
"1701741177.142133","XmlWinEventLog:Security",,1033421,584,,"apidevdc01.example.com",4776,ADMINISTRATOR,,,,,,,,,
"1701741177.142254","XmlWinEventLog:Security","NtLmSsp ",1033422,584,"195.130.73.252","apidevdc01.example.com",4625,ADMINISTRATOR,,,3,,,,,,
"1701741177.985638","XmlWinEventLog:Security",,1033423,4,,"apidevdc01.example.com",4703,admin,EXAMPLE,,,,,,,,0x153c
"1701741177.991744","XmlWinEventLog:Security",,1033424,4,,"apidevdc01.example.com",4703,"APIDEVDC01$",EXAMPLE,,,,,,,,0x33c
"1701741177.992325","XmlWinEventLog:Security",,1033425,4,,"apidevdc01.example.com",4703,"APIDEVDC01$",EXAMPLE,,,,,,,,0x33c
"1701741177.994412","XmlWinEventLog:Security",,1033426,4,,"apidevdc01.example.com",4703,"APIDEVDC01$",EXAMPLE,,,,,,,,0x33c
"1701741177.996376","XmlWinEventLog:Security",,1033427,4,,"apidevdc01.example.com",4703,"APIDEVDC01$",EXAMPLE,,,,,,,,0x33c
"1701741178.003918","XmlWinEventLog:Security",,1033428,4,,"apidevdc01.example.com",4703,"APIDEVDC01$",EXAMPLE,,,,,,,,0x33c
"1701741178.011583","XmlWinEventLog:Security",,1033429,4,,"apidevdc01.example.com",4703,"APIDEVDC01$",EXAMPLE,,,,,,,,0x33c
"1701741178.014163","XmlWinEventLog:Security",,1033430,4,,"apidevdc01.example.com",4703,"APIDEVDC01$",EXAMPLE,,,,,,,,0x33c
"1701741178.014726","XmlWinEventLog:Security",,1033431,4,,"apidevdc01.example.com",4703,"APIDEVDC01$",EXAMPLE,,,,,,,,0x33c
"1701741178.017244","XmlWinEventLog:Security",,1033432,4,,"apidevdc01.example.com",4703,"APIDEVDC01$",EXAMPLE,,,,,,,,0x33c
"1701741178.021674","XmlWinEventLog:Security",,1033433,4,,"apidevdc01.example.com",4703,"APIDEVDC01$",EXAMPLE,,,,,,,,0x33c
"1701741178.035226","XmlWinEventLog:Security",,1033434,4,,"apidevdc01.example.com",4703,"APIDEVDC01$",EXAMPLE,,,,,,,,0x33c
"1701741178.035784","XmlWinEventLog:Security",,1033435,4,,"apidevdc01.example.com",4703,"APIDEVDC01$",EXAMPLE,,,,,,,,0x33c
"1701741178.037563","XmlWinEventLog:Security",,1033436,4,,"apidevdc01.example.com",4703,"APIDEVDC01$",EXAMPLE,,,,,,,,0x33c
"1701741178.039574","XmlWinEventLog:Security",,1033437,4,,"apidevdc01.example.com",4703,"APIDEVDC01$",EXAMPLE,,,,,,,,0x33c
"1701741178.047560","XmlWinEventLog:Security",,1033438,4,,"apidevdc01.example.com",4703,"APIDEVDC01$",EXAMPLE,,,,,,,,0x33c
"1701741178.047813","XmlWinEventLog:Security",,1033439,4,,"apidevdc01.example.com",4703,"APIDEVDC01$",EXAMPLE,,,,,,,,0x33c
"1701741178.051319","XmlWinEventLog:Security",,1033440,4,,"apidevdc01.example.com",4703,"APIDEVDC01$",EXAMPLE,,,,,,,,0x33c
"1701741179.066247","XmlWinEventLog:Security",,1033441,4,,"apidevdc01.example.com",4703,"APIDEVDC01$",EXAMPLE,,,,,,,,0x33c
"1701741179.616799","XmlWinEventLog:Security",,1033442,4,,"apidevdc01.example.com",4703,"APIDEVDC01$",EXAMPLE,,,,,,,,0x33c
"1701741179.617296","XmlWinEventLog:Security",,1033443,4,,"apidevdc01.example.com",4703,"APIDEVDC01$",EXAMPLE,,,,,,,,0x33c
"1701741179.635264","XmlWinEventLog:Security",,1033444,4,,"apidevdc01.example.com",4688,,,,,,"C:\Windows\system32\wbem\wmiprvse.exe -Embedding",0x1160,"C:\Windows\System32\wbem\WmiPrvSE.exe","C:\Windows\System32\svchost.exe",0x2f8
"1701741179.662577","XmlWinEventLog:Security",,1033445,4,,"apidevdc01.example.com",4703,"APIDEVDC01$",EXAMPLE,,,,,,,,0x33c
"1701741179.662896","XmlWinEventLog:Security",,1033446,4,,"apidevdc01.example.com",4703,"APIDEVDC01$",EXAMPLE,,,,,,,,0x33c
"1701741179.664447","XmlWinEventLog:Security",,1033447,4,,"apidevdc01.example.com",4703,"APIDEVDC01$",EXAMPLE,,,,,,,,0x33c
"1701741179.665530","XmlWinEventLog:Security",,1033448,4,,"apidevdc01.example.com",4703,"APIDEVDC01$",EXAMPLE,,,,,,,,0x33c
"1701741179.672144","XmlWinEventLog:Security",,1033449,4,,"apidevdc01.example.com",4703,"APIDEVDC01$",EXAMPLE,,,,,,,,0x33c
"1701741179.729368","XmlWinEventLog:Security","Advapi  ",1033450,584,,"apidevdc01.example.com",4624,SYSTEM,"NT AUTHORITY",,5,,,,,,0x238
"1701741179.729379","XmlWinEventLog:Security",,1033451,584,,"apidevdc01.example.com",4672,,,,,,,,,,
"1701741179.730889","XmlWinEventLog:Security",,1033452,4,,"apidevdc01.example.com",4688,,,,,,"C:\Windows\servicing\TrustedInstaller.exe",0x724,"C:\Windows\servicing\TrustedInstaller.exe","C:\Windows\System32\services.exe",0x238
"1701741179.753026","XmlWinEventLog:Security",,1033453,4,,"apidevdc01.example.com",4703,"APIDEVDC01$",EXAMPLE,,,,,,,,0x1160
"1701741179.756416","XmlWinEventLog:Security",,1033454,4,,"apidevdc01.example.com",4703,"APIDEVDC01$",EXAMPLE,,,,,,,,0x33c
"1701741181.758893","XmlWinEventLog:Security","NtLmSsp ",74264,624,"198.12.89.179",winhost01,4625,Administrator,,,3,workstation,,,,,
"1701741181.862931","XmlWinEventLog:Security",,74265,4,,winhost01,4688,,,,,,"""C:\Program Files\SplunkUniversalForwarder\bin\splunk-regmon.exe""",0x7a8,"C:\Program Files\SplunkUniversalForwarder\bin\splunk-regmon.exe","C:\Program Files\SplunkUniversalForwarder\bin\splunkd.exe",0x121c
"1701741182.722167","XmlWinEventLog:Security",,74266,4,,winhost01,4688,,,,,,"""C:\Program Files\SplunkUniversalForwarder\bin\splunk-netmon.exe""",0xa90,"C:\Program Files\SplunkUniversalForwarder\bin\splunk-netmon.exe","C:\Program Files\SplunkUniversalForwarder\bin\splunkd.exe",0x121c
